127.0.0.1, 2016-10-14 15:56:26, GET, /PlanIt/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.039372
127.0.0.1, 2016-10-14 15:56:26, GET, /PlanIt/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.050809
127.0.0.1, 2016-10-14 15:56:26, GET, /PlanIt/static/js/share.js, HTTP/1.1, 304, 0.055043
127.0.0.1, 2016-10-14 15:56:26, GET, /PlanIt/static/images/facebook.png, HTTP/1.1, 304, 0.000785
127.0.0.1, 2016-10-14 15:56:26, GET, /PlanIt/static/images/twitter.png, HTTP/1.1, 304, 0.001858
127.0.0.1, 2016-10-14 15:56:26, GET, /PlanIt/static/images/gplus-32.png, HTTP/1.1, 304, 0.001129
127.0.0.1, 2016-10-14 15:57:01, GET, /PlanIt/, HTTP/1.1, 303, 0.018217
127.0.0.1, 2016-10-14 15:57:01, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.016223
127.0.0.1, 2016-10-14 15:57:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000303
127.0.0.1, 2016-10-14 15:58:29, GET, /PlanIt/default/user/register, HTTP/1.1, 200, 0.039442
127.0.0.1, 2016-10-14 15:58:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000369
127.0.0.1, 2016-10-14 15:58:30, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.039140
127.0.0.1, 2016-10-14 15:58:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000440
127.0.0.1, 2016-10-14 16:02:07, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.056895
127.0.0.1, 2016-10-14 16:02:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000400
127.0.0.1, 2016-10-14 16:06:03, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.078491
127.0.0.1, 2016-10-14 16:06:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000364
127.0.0.1, 2016-10-14 16:06:04, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.027310
127.0.0.1, 2016-10-14 16:06:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000400
127.0.0.1, 2016-10-14 16:07:37, GET, /, HTTP/1.1, 303, 0.002933
127.0.0.1, 2016-10-14 16:07:38, GET, /welcome/default/index, HTTP/1.1, 200, 0.499566
127.0.0.1, 2016-10-14 16:07:38, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.009693
127.0.0.1, 2016-10-14 16:07:38, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.011219
127.0.0.1, 2016-10-14 16:07:38, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.014285
127.0.0.1, 2016-10-14 16:07:38, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-14 16:07:38, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.003193
127.0.0.1, 2016-10-14 16:07:38, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.004049
127.0.0.1, 2016-10-14 16:07:38, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003189
127.0.0.1, 2016-10-14 16:07:38, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.011298
127.0.0.1, 2016-10-14 16:07:38, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.020250
127.0.0.1, 2016-10-14 16:07:39, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001278
127.0.0.1, 2016-10-14 16:07:39, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.001882
127.0.0.1, 2016-10-14 16:07:39, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.006627
127.0.0.1, 2016-10-14 16:07:39, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000840
127.0.0.1, 2016-10-14 16:07:39, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001292
127.0.0.1, 2016-10-14 16:07:39, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001003
127.0.0.1, 2016-10-14 16:07:43, GET, /PlanIt, HTTP/1.1, 200, 0.258988
127.0.0.1, 2016-10-14 16:07:44, GET, /PlanIt/static/css/myapp.css, HTTP/1.1, 200, 0.003078
127.0.0.1, 2016-10-14 16:07:44, GET, /PlanIt/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.010314
127.0.0.1, 2016-10-14 16:07:44, GET, /PlanIt/static/js/calendar.js, HTTP/1.1, 200, 0.012627
127.0.0.1, 2016-10-14 16:07:44, GET, /PlanIt/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.028450
127.0.0.1, 2016-10-14 16:07:44, GET, /PlanIt/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.044991
127.0.0.1, 2016-10-14 16:07:44, GET, /PlanIt/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.088474
127.0.0.1, 2016-10-14 16:07:44, GET, /PlanIt/static/js/jquery.js, HTTP/1.1, 200, 0.067939
127.0.0.1, 2016-10-14 16:07:44, GET, /PlanIt/static/css/calendar.css, HTTP/1.1, 200, 0.084768
127.0.0.1, 2016-10-14 16:07:44, GET, /PlanIt/static/js/web2py.js, HTTP/1.1, 200, 0.058642
127.0.0.1, 2016-10-14 16:07:44, GET, /PlanIt/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.026857
127.0.0.1, 2016-10-14 16:07:44, GET, /PlanIt/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.029115
127.0.0.1, 2016-10-14 16:07:44, GET, /PlanIt/static/js/share.js, HTTP/1.1, 200, 0.033575
127.0.0.1, 2016-10-14 16:07:44, GET, /PlanIt/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001205
127.0.0.1, 2016-10-14 16:07:44, GET, /PlanIt/static/images/twitter.png, HTTP/1.1, 200, 0.000974
127.0.0.1, 2016-10-14 16:07:44, GET, /PlanIt/static/images/facebook.png, HTTP/1.1, 200, 0.004287
127.0.0.1, 2016-10-14 16:07:44, GET, /PlanIt/static/images/gplus-32.png, HTTP/1.1, 200, 0.011296
127.0.0.1, 2016-10-14 16:08:27, GET, /PlanIt, HTTP/1.1, 303, 0.027533
127.0.0.1, 2016-10-14 16:08:27, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.026101
127.0.0.1, 2016-10-14 16:08:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000521
127.0.0.1, 2016-10-14 16:13:48, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.049339
127.0.0.1, 2016-10-14 16:13:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000325
127.0.0.1, 2016-10-14 16:13:49, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.018492
127.0.0.1, 2016-10-14 16:13:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000291
127.0.0.1, 2016-10-14 16:13:49, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.018795
127.0.0.1, 2016-10-14 16:13:50, GET, /favicon.ico, HTTP/1.1, 400, 0.001631
127.0.0.1, 2016-10-14 16:13:50, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.022296
127.0.0.1, 2016-10-14 16:13:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000429
127.0.0.1, 2016-10-14 16:17:35, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.102247
127.0.0.1, 2016-10-14 16:17:35, GET, /PlanIt/static/css/calendar.css, HTTP/1.1, 200, 0.093389
127.0.0.1, 2016-10-14 16:17:36, GET, /PlanIt/static/images/twitter.png, HTTP/1.1, 200, 0.002280
127.0.0.1, 2016-10-14 16:17:36, GET, /PlanIt/static/images/facebook.png, HTTP/1.1, 200, 0.001063
127.0.0.1, 2016-10-14 16:17:36, GET, /PlanIt/static/images/gplus-32.png, HTTP/1.1, 200, 0.002056
127.0.0.1, 2016-10-14 16:17:59, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.125634
127.0.0.1, 2016-10-14 16:18:01, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.049647
127.0.0.1, 2016-10-14 16:18:27, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.061325
127.0.0.1, 2016-10-14 16:18:29, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.022554
127.0.0.1, 2016-10-14 16:18:56, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.033277
127.0.0.1, 2016-10-14 16:18:57, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.034725
127.0.0.1, 2016-10-14 16:19:43, GET, /PlanIt/default/user/login, HTTP/1.1, 500, 0.296718
127.0.0.1, 2016-10-14 16:19:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000597
127.0.0.1, 2016-10-14 16:19:52, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.039000
127.0.0.1, 2016-10-14 16:22:35, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.074909
127.0.0.1, 2016-10-14 16:22:49, POST, /PlanIt/default/user/login, HTTP/1.1, 200, 0.038544
127.0.0.1, 2016-10-14 16:22:51, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.024959
127.0.0.1, 2016-10-14 16:23:46, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.061455
127.0.0.1, 2016-10-14 16:24:00, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.033614
127.0.0.1, 2016-10-14 16:24:03, GET, /PlanIt/default/user/request_reset_password, HTTP/1.1, 200, 0.027437
127.0.0.1, 2016-10-14 16:24:04, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.117071
127.0.0.1, 2016-10-14 16:24:42, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.035890
127.0.0.1, 2016-10-14 16:24:42, GET, /PlanIt/static/css/myapp.css, HTTP/1.1, 200, 0.005786
127.0.0.1, 2016-10-14 16:24:42, GET, /PlanIt/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.006183
127.0.0.1, 2016-10-14 16:24:42, GET, /PlanIt/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.010442
127.0.0.1, 2016-10-14 16:24:42, GET, /PlanIt/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.041344
127.0.0.1, 2016-10-14 16:24:42, GET, /PlanIt/static/js/calendar.js, HTTP/1.1, 304, 0.042727
127.0.0.1, 2016-10-14 16:24:42, GET, /PlanIt/static/js/jquery.js, HTTP/1.1, 304, 0.042995
127.0.0.1, 2016-10-14 16:24:42, GET, /PlanIt/static/css/calendar.css, HTTP/1.1, 304, 0.040456
127.0.0.1, 2016-10-14 16:24:42, GET, /PlanIt/static/js/web2py.js, HTTP/1.1, 304, 0.040839
127.0.0.1, 2016-10-14 16:24:50, GET, /PlanIt/default/user/login, HTTP/1.1, 200, 0.030505
127.0.0.1, 2016-10-14 16:24:50, GET, /PlanIt/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.018067
127.0.0.1, 2016-10-14 16:24:50, GET, /PlanIt/static/css/myapp.css, HTTP/1.1, 304, 0.057428
127.0.0.1, 2016-10-14 16:24:50, GET, /PlanIt/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.077856
127.0.0.1, 2016-10-14 16:24:50, GET, /PlanIt/static/css/calendar.css, HTTP/1.1, 304, 0.099666
127.0.0.1, 2016-10-14 16:24:50, GET, /PlanIt/static/js/jquery.js, HTTP/1.1, 304, 0.099963
